CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Unidade da Federação
Médicos: Médico geneticista
Atende no SUS: Sim
Período:Dez/2020
"Unidade da Federação";"Quantidade"
"11 Rondônia";1
"12 Acre";1
"13 Amazonas";1
"15 Pará";4
"21 Maranhão";1
"23 Ceará";3
"24 Rio Grande do Norte";1
"25 Paraíba";1
"26 Pernambuco";2
"27 Alagoas";2
"28 Sergipe";4
"29 Bahia";7
"31 Minas Gerais";10
"32 Espírito Santo";3
"33 Rio de Janeiro";16
"35 São Paulo";40
"41 Paraná";4
"42 Santa Catarina";5
"43 Rio Grande do Sul";22
"50 Mato Grosso do Sul";1
"52 Goiás";3
"53 Distrito Federal";16
"Total";148
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
