 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Unidade da Federação e Ano atendimento
Procedimento: 0202110079 DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO)
Aprovação produção: Produção totalmente aprovada
Período:2019
"Unidade da Federação";"2018";"2019";"Total"
"11 Rondônia";-;25419;25419
"12 Acre";-;14150;14150
"13 Amazonas";-;44157;44157
"14 Roraima";-;9256;9256
"15 Pará";15776;71784;87560
"17 Tocantins";-;21511;21511
"21 Maranhão";280;97336;97616
"22 Piauí";-;41715;41715
"23 Ceará";-;107057;107057
"25 Paraíba";-;35900;35900
"26 Pernambuco";-;100284;100284
"27 Alagoas";-;45227;45227
"28 Sergipe";-;27906;27906
"29 Bahia";-;173982;173982
"31 Minas Gerais";-;229301;229301
"32 Espírito Santo";-;44616;44616
"33 Rio de Janeiro";-;158973;158973
"35 São Paulo";1;503661;503662
"41 Paraná";-;261932;261932
"43 Rio Grande do Sul";-;102660;102660
"50 Mato Grosso do Sul";-;35864;35864
"51 Mato Grosso";3886;21869;25755
"52 Goiás";-;67702;67702
"53 Distrito Federal";-;43007;43007
"Total";19943;2285269;2305212
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
