 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação
Período:2019
"Unidade da Federação";"Nascim_p/resid.mãe"
"11 Rondônia";27028
"12 Acre";16280
"13 Amazonas";77622
"14 Roraima";14620
"15 Pará";138341
"16 Amapá";15356
"17 Tocantins";24449
"21 Maranhão";113317
"22 Piauí";47933
"23 Ceará";129185
"24 Rio Grande do Norte";44031
"25 Paraíba";57701
"26 Pernambuco";133359
"27 Alagoas";49803
"28 Sergipe";32697
"29 Bahia";197249
"31 Minas Gerais";256892
"32 Espírito Santo";54925
"33 Rio de Janeiro";207989
"35 São Paulo";583191
"41 Paraná";153469
"42 Santa Catarina";98032
"43 Rio Grande do Sul";134596
"50 Mato Grosso do Sul";43695
"51 Mato Grosso";58852
"52 Goiás";96112
"53 Distrito Federal";42422
"Total";2849146
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
