 Nascidos vivos - Brasil
Nascim p/ocorrênc por Unidade da Federação
Período:2019
"Unidade da Federação";"Nascim_p/ocorrênc"
"11 Rondônia";26937
"12 Acre";17048
"13 Amazonas";77098
"14 Roraima";14586
"15 Pará";136064
"16 Amapá";16902
"17 Tocantins";24034
"21 Maranhão";111336
"22 Piauí";50464
"23 Ceará";129158
"24 Rio Grande do Norte";44623
"25 Paraíba";57413
"26 Pernambuco";134419
"27 Alagoas";49638
"28 Sergipe";33724
"29 Bahia";195050
"31 Minas Gerais";256456
"32 Espírito Santo";54491
"33 Rio de Janeiro";207964
"35 São Paulo";584621
"41 Paraná";153564
"42 Santa Catarina";97775
"43 Rio Grande do Sul";134575
"50 Mato Grosso do Sul";43241
"51 Mato Grosso";58848
"52 Goiás";83649
"53 Distrito Federal";55468
"Total";2849146
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
